season,rundle,league,div
64,R,Corridor,1
64,R,Corridor,2
64,A,Frontier,0
64,B,Frontier,0
64,C,Frontier,1
64,C,Frontier,2
64,D,Frontier,1
64,D,Frontier,2
64,E,Frontier,1
64,E,Frontier,2
64,E,Frontier,3
64,R,Frontier,1
64,R,Frontier,2
64,R,Frontier,3
64,A,Highland,0
64,B,Highland,0
64,C,Highland,0
64,D,Highland,1
64,D,Highland,2
64,E,Highland,1
64,E,Highland,2
64,R,Highland,1
64,R,Highland,2
64,A,Horizon,0
64,B,Horizon,0
64,C,Horizon,0
64,D,Horizon,1
64,D,Horizon,2
64,E,Horizon,1
64,E,Horizon,2
64,E,Horizon,3
64,R,Horizon,1
64,R,Horizon,2
64,A,Maritime,0
64,B,Maritime,0
64,C,Maritime,0
64,D,Maritime,1
64,D,Maritime,2
64,E,Maritime,1
64,E,Maritime,2
64,R,Maritime,1
64,R,Maritime,2
64,A,Meridian,0
64,B,Meridian,0
64,C,Meridian,0
64,D,Meridian,1
64,D,Meridian,2
64,E,Meridian,1
64,E,Meridian,2
64,R,Meridian,1
64,R,Meridian,2
64,A,Metro,0
64,B,Metro,0
64,C,Metro,0
64,D,Metro,1
64,D,Metro,2
64,E,Metro,1
64,E,Metro,2
64,E,Metro,3
64,R,Metro,1
64,R,Metro,2
64,R,Metro,3
64,A,Midland,0
64,B,Midland,0
64,C,Midland,0
64,D,Midland,1
64,D,Midland,2
64,E,Midland,1
64,E,Midland,2
64,R,Midland,1
64,R,Midland,2
64,A,Pacific,0
64,B,Pacific,0
64,C,Pacific,0
64,D,Pacific,1
64,D,Pacific,2
64,E,Pacific,1
64,E,Pacific,2
64,E,Pacific,3
64,R,Pacific,1
64,R,Pacific,2
64,A,Seaboard,0
64,B,Seaboard,0
64,C,Seaboard,0
64,D,Seaboard,1
64,D,Seaboard,2
64,E,Seaboard,1
64,E,Seaboard,2
64,R,Seaboard,1
64,R,Seaboard,2
64,A,Skyline,0
64,B,Skyline,0
64,C,Skyline,1
64,C,Skyline,2
64,D,Skyline,1
64,D,Skyline,2
64,E,Skyline,1
64,E,Skyline,2
64,E,Skyline,3
64,R,Skyline,1
64,R,Skyline,2
64,R,Skyline,3
65,A,Central,0
65,B,Central,0
65,C,Central,1
65,C,Central,2
65,D,Central,1
65,D,Central,2
65,E,Central,1
65,E,Central,2
65,R,Central,1
65,R,Central,2
65,A,Coastal,0
65,B,Coastal,0
65,C,Coastal,0
65,D,Coastal,1
65,D,Coastal,2
65,E,Coastal,1
65,E,Coastal,2
65,E,Coastal,3
65,R,Coastal,1
65,R,Coastal,2
65,A,Corridor,0
65,B,Corridor,0
65,C,Corridor,0
65,D,Corridor,1
